Style,color
Surrealism,#00FFFF
Art Nouveau (Modern),#000000
Neoclassicism,#0000FF
Expressionism,#FF00FF
Realism,#808080
Naturalism,#008000
Baroque,#00FF00
Fantastic Realism,#800000
Impressionism,#000080
Cubism,#808000
Romanticism,#800080
Post-Impressionism,#FF0000
Symbolism,#C0C0C0
-,#FFFFFF
Na•ve Art (Primitivism),#FFFF00
Art Informel,#00FFFF
Tenebrism,#000000
Abstract Expressionism,#0000FF
Dada,#FF00FF
Neo-Romanticism,#808080
Constructivism,#008000
Art Brut,#00FF00
Abstract Art,#800000
Muralism,#000080
Japonism,#808000
Neo-Dada,#800080
Fauvism,#FF0000
Academicism,#C0C0C0
Divisionism,#FF0000
Orientalism,#FFFF00
Byzantine,#00FFFF
New Realism,#000000
Luminism,#0000FF
Op Art,#FF00FF
Figurative Expressionism,#808080
Classicism,#008000
Pop Art,#00FF00
Rococo,#800000
Pointillism,#000080
Color Field Painting,#808000